Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4. About Us,Chrome 104.0.5112.81,,,2022-08-12 15:25:48,2022-08-12 15:26:25,36.876s,PASSED
,,,,,,,
Test Cases/4. About Us/1. Verif_Link - click About Us button,Chrome 104.0.5112.81,,,2022-08-12 15:25:48,2022-08-12 15:26:19,30.996s,PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-12 15:25:50,2022-08-12 15:25:58,7.844s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-12 15:25:58,2022-08-12 15:25:58,0.308s,PASSED
"navigateToUrl(""https://stockbit.com/"")",Chrome 104.0.5112.81,,,2022-08-12 15:25:58,2022-08-12 15:26:04,6.360s,PASSED
"click(findTestObject(""Object Repository/bout/Page_Stockbit - Investasi Saham Bersama Kom_14e38f/a_About Us""))",Chrome 104.0.5112.81,,,2022-08-12 15:26:04,2022-08-12 15:26:11,6.582s,PASSED
delay(3),Chrome 104.0.5112.81,,,2022-08-12 15:26:11,2022-08-12 15:26:14,3.058s,PASSED
"Link = ""https://stockbit.com/about""",Chrome 104.0.5112.81,,,2022-08-12 15:26:14,2022-08-12 15:26:14,0.003s,PASSED
CurrentUrL = getUrl(),Chrome 104.0.5112.81,,,2022-08-12 15:26:14,2022-08-12 15:26:14,0.054s,PASSED
"verifyMatch(CurrentUrL, Link, false)",Chrome 104.0.5112.81,,,2022-08-12 15:26:14,2022-08-12 15:26:14,0.026s,PASSED
delay(3),Chrome 104.0.5112.81,,,2022-08-12 15:26:14,2022-08-12 15:26:17,3.010s,PASSED
Video,Chrome 104.0.5112.81,,,2022-08-12 15:26:19,2022-08-12 15:26:19,0.001s,PASSED
,,,,,,,
Test Cases/4. About Us/2. Verif_chat box - clicks Helpdesk Icon,Chrome 104.0.5112.81,,,2022-08-12 15:26:19,2022-08-12 15:26:25,5.293s,PASSED
"click(findTestObject(""Object Repository/bout/Page_About Us  Stockbit - Komunitas Saham I_93a387/icon-widget_support""))",Chrome 104.0.5112.81,,,2022-08-12 15:26:20,2022-08-12 15:26:21,0.499s,PASSED
delay(2),Chrome 104.0.5112.81,,,2022-08-12 15:26:21,2022-08-12 15:26:23,2.013s,PASSED
Video,Chrome 104.0.5112.81,,,2022-08-12 15:26:25,2022-08-12 15:26:25,0.002s,PASSED
